CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41008857,KRISS WEST INDIAN RESTAURANT,Queens,11204,FARMERS BOULEVARD,11412.0,7184549300,Caribbean,10/30/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,80.0,,,09/18/2019,Cycle Inspection / Re-inspection,40.700713343853,-73.764286235415,412.0,27.0,40000.0,4222058.0,4104400011.0,QN08
40892893,MIRAGE DINER RESTAURAUNT,Brooklyn,717,KINGS HIGHWAY,11223.0,7189983750,American,03/28/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,45.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.606217087974,-73.965379997267,315.0,44.0,41800.0,3177498.0,3066640020.0,BK25
40381595,PIETROS,Manhattan,232,EAST 43RD STREET,10017.0,2126829760,Italian,11/02/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,24.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.751069173359,-73.973114812431,106.0,4.0,8800.0,1037552.0,1013160023.0,MN19
50066120,SAPPS,Queens,2726,JACKSON AVE,11101.0,7187845555,Japanese,12/07/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,11.0,A,12/07/2018,09/18/2019,Cycle Inspection / Re-inspection,40.747900236957996,-73.94014730997401,402.0,26.0,1900.0,4003492.0,4002660021.0,QN31
50010986,PONTY BISTRO,Manhattan,144,W 139TH ST,10030.0,2122346474,French,07/31/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12.0,A,07/31/2019,09/18/2019,Cycle Inspection / Initial Inspection,40.817590098733,-73.941265795155,110.0,9.0,23000.0,1060051.0,1020070061.0,MN03
40365938,NANCY'S RESTAURANT,Queens,25541,JAMAICA AVENUE,11001.0,7183434616,American,08/01/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,6.0,A,08/01/2019,09/18/2019,Cycle Inspection / Re-inspection,40.727412703327,-73.70962096636799,413.0,23.0,157903.0,,4.0,QN44
40829514,CLINTON STREET BAKING COMPANY,Manhattan,4,CLINTON STREET,10002.0,6466026263,American,04/26/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,9.0,A,04/26/2019,09/18/2019,Cycle Inspection / Re-inspection,40.721158765035,-73.983975003544,103.0,2.0,2201.0,1004265.0,1003500051.0,MN28
50012220,REDSTONE ROCKET,Queens,3235,48TH AVE,11101.0,7183921972,American,12/06/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,20.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.740894476293,-73.933138349813,402.0,26.0,19900.0,4003446.0,4002520001.0,QN31
50014658,INSOMNIA BAR & LOUNGE,Queens,12705,111TH AVE,11420.0,3477844696,American,08/31/2019,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,17.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.682552218057,-73.814142940568,410.0,28.0,17000.0,4249803.0,4116080040.0,QN55
50044651,BERBICE BAR  AND  RESTAURANT,Queens,17306,JAMAICA AVE,11432.0,7182976100,Caribbean,10/03/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,40.0,C,10/03/2018,09/18/2019,Cycle Inspection / Re-inspection,40.707885085982,-73.786518952652,412.0,27.0,44400.0,4217536.0,4102140003.0,QN61
41609166,NO. 1 FLOWER DRUM HOUSE,Queens,2105,31 STREET,11105.0,7189563677,Chinese,01/05/2017,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,15.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.77762185849001,-73.908855609575,401.0,22.0,11300.0,4016928.0,4008310029.0,QN72
41595314,PITA GRILL,Manhattan,1083,2 AVENUE,10022.0,2127501122,Jewish/Kosher,11/07/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,30.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.759455030607,-73.965195362651,106.0,4.0,10800.0,1038599.0,1013310021.0,MN19
50019166,MAITE,Brooklyn,159,CENTRAL AVE,11221.0,7183663090,Spanish,08/16/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,32.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.699035642491005,-73.92681518203301,304.0,34.0,42300.0,3072901.0,3032080001.0,BK78
50061163,Soul Food,Brooklyn,88A,KINGSTON AVE,11213.0,7184937570,Caribbean,01/19/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,9.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.676715343649995,-73.941516522976,308.0,36.0,31300.0,,3.0,BK61
50089765,PERK KAFE,Manhattan,534,E 14TH ST,10009.0,6463295843,Café/Coffee/Tea,04/16/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,50.0,,,09/18/2019,Pre-permit (Operational) / Initial Inspection,40.729831418295,-73.97896850325499,103.0,2.0,3400.0,1005242.0,1004070025.0,MN22
41327462,AMERICA GOURMET FOOD,Manhattan,831,6 AVENUE,10001.0,2128689790,Delicatessen,11/09/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,9.0,A,11/09/2016,09/18/2019,Cycle Inspection / Re-inspection,40.746562257424,-73.99014745917499,105.0,3.0,9500.0,1015123.0,1008040042.0,MN17
41592302,GEMINIS II RESTAURANT,Brooklyn,109,GRAHAM AVENUE,11206.0,7183848108,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/26/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,N,15.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.705464806782,-73.942908658849,301.0,34.0,50500.0,3071343.0,3030790025.0,BK90
50076479,ESS & BENTCH,Brooklyn,313,KINGSTON AVE,11213.0,7182214300,Jewish/Kosher,06/25/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10.0,A,06/25/2018,09/18/2019,Pre-permit (Operational) / Re-inspection,40.66856373375,-73.942262672505,309.0,35.0,33700.0,3033057.0,3012720001.0,BK61
50061459,MUSIC HALL OF WILLIAMSBURG,Brooklyn,66,N 6TH ST,11249.0,9174551282,American,06/13/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,40.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.719322705112,-73.961626929792,301.0,33.0,55500.0,3062158.0,3023330013.0,BK73
41564527,THE ORIGINAL CULPEPPERS RESTAURANT,Brooklyn,1082,NOSTRAND AVENUE,11225.0,7189404122,Caribbean,05/16/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,26.0,B,05/16/2017,09/18/2019,Cycle Inspection / Re-inspection,40.661450474514,-73.95072469913,309.0,40.0,80000.0,3114823.0,3050300040.0,BK60
50033955,CROWN CHICKEN & BISCUIT,Brooklyn,152,ROCKAWAY AVE,11233.0,7183460088,Chicken,04/17/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,19.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.677947165915,-73.910791386279,316.0,41.0,30100.0,3042207.0,3015510056.0,BK79
50048297,CAFE GOURMET,Brooklyn,9,HANOVER PL,11201.0,7182220090,American,05/24/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,9.0,A,05/24/2018,09/18/2019,Cycle Inspection / Initial Inspection,40.689063913542,-73.982284384157,302.0,33.0,3700.0,3000464.0,3001610027.0,BK38
50045788,CHINELOS II DELI-GROCERY RESTAURANT,Manhattan,530,W 136TH ST,10031.0,2126906077,Mexican,08/10/2016,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Y,35.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.820131684586,-73.953103328581,109.0,7.0,22301.0,1059808.0,1019880127.0,MN06
41498400,THE BEDFORD,Brooklyn,110,BEDFORD AVENUE,11249.0,7183021002,American,08/15/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,3.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.719962746549,-73.955446837356,301.0,33.0,51700.0,3061604.0,3022970013.0,BK73
50046516,EL CASTILLO DE JAGUA,Brooklyn,679,FLATBUSH AVE,11225.0,3478529114,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",01/04/2019,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,12.0,A,01/04/2019,09/18/2019,Cycle Inspection / Re-inspection,40.65661782015,-73.960095351717,309.0,40.0,79601.0,3115644.0,3050450003.0,BK60
41615940,MISTER HOTPOT,Brooklyn,5306,8 AVENUE,11220.0,7186335197,Chinese,10/30/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,28.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.639327026117,-74.00558130595199,307.0,38.0,10600.0,3014440.0,3008180042.0,BK34
41435697,FRANK'S TAVERN,Brooklyn,5511,AVENUE N,11234.0,7182519760,American,10/04/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12.0,A,10/04/2018,09/18/2019,Cycle Inspection / Initial Inspection,40.619263585415,-73.921860069114,318.0,46.0,69000.0,3220242.0,3078800006.0,BK58
50072380,POPEYES,Brooklyn,6516,18TH AVE,11204.0,7182321629,American,02/25/2019,Violations were cited in the following area(s).,16C,"Caloric content not posted on menus, menu boards or food tags, in a food service establishment that is 1 of 15 or more outlets operating the same type of business nationally under common ownership or control, or as a franchise or doing business under the same name, for each menu item that is served in portions, the size and content of which are standardized.",N,,,,09/18/2019,Calorie Posting / Initial Inspection,40.618968698539,-73.99035007058,311.0,38.0,25200.0,3345977.0,3055530047.0,BK28
40815605,CHOP'T,Manhattan,24,EAST   17 STREET,10003.0,6463365523,Salads,11/05/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,19.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.737353640750996,-73.99090300021999,105.0,2.0,5200.0,1016089.0,1008440026.0,MN13
50084224,HALL / ODO,Manhattan,17,W 20TH ST,10011.0,9175797290,Japanese,12/04/2018,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,31.0,,,09/18/2019,Pre-permit (Operational) / Initial Inspection,40.740032596862,-73.991790357067,105.0,3.0,5400.0,1015493.0,1008220023.0,MN13
41709400,FU LAI O KITCHEN,Brooklyn,6815,3 AVENUE,11220.0,7189219492,Chinese,09/07/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,10.0,A,09/07/2016,09/18/2019,Cycle Inspection / Initial Inspection,40.636274801813,-74.025808301781,310.0,43.0,6800.0,3145194.0,3058630004.0,BK31
50070895,TAJ KEBAB,Brooklyn,416,DITMAS AVE,11218.0,7186333006,Middle Eastern,12/05/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,17.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.63589066551,-73.974789942211,312.0,39.0,48400.0,3127140.0,3053980006.0,BK41
41111038,COLOMBIAN RESTAURANT & BAKERY,Brooklyn,4823,4 AVENUE,11220.0,7184921485,Bakery,08/08/2019,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,27.0,B,08/08/2019,09/18/2019,Cycle Inspection / Re-inspection,40.647404467381,-74.011585590317,307.0,38.0,7800.0,3012571.0,3007740001.0,BK32
41353612,SOHO SUSHI,Manhattan,231,SULLIVAN STREET,10012.0,2127772188,Japanese,06/28/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,20.0,B,06/28/2018,09/18/2019,Cycle Inspection / Re-inspection,40.729627488582004,-73.999711354511,102.0,1.0,6500.0,1008669.0,1005390012.0,MN23
50014212,CHICKEN SHACK,Queens,3619,BROADWAY,11106.0,7187213035,Chicken,04/12/2019,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Y,22.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.759913443018,-73.920990536259,401.0,22.0,6100.0,4009833.0,4006490001.0,QN70
41498400,THE BEDFORD,Brooklyn,110,BEDFORD AVENUE,11249.0,7183021002,American,05/23/2018,No violations were recorded at the time of this inspection.,,,,,,,09/18/2019,Administrative Miscellaneous / Initial Inspection,40.719962746549,-73.955446837356,301.0,33.0,51700.0,3061604.0,3022970013.0,BK73
50061246,EAST ONE COFFEE ROASTERS,Brooklyn,384,COURT ST,11231.0,3479874919,American,12/31/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,27.0,B,12/31/2018,09/18/2019,Cycle Inspection / Re-inspection,40.681209683578,-73.996463064469,306.0,39.0,6500.0,3331264.0,3003510034.0,BK33
50074960,MONK MCGINNS,Manhattan,57,MURRAY ST,10007.0,9172658961,American,08/02/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9.0,A,08/02/2019,09/18/2019,Cycle Inspection / Re-inspection,40.71421246245,-74.009746738044,101.0,1.0,2100.0,1082029.0,1001330013.0,MN24
50068180,CRAZY WILLY'S,Queens,11710,JAMAICA AVE,11418.0,7184415614,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",09/12/2019,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,26.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.699570483814995,-73.832358341831,409.0,29.0,12200.0,4195868.0,4093270005.0,QN54
50069786,BAR 263,Manhattan,203,E 26TH ST,10010.0,2127790300,American,11/06/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13.0,,,09/18/2019,Pre-permit (Non-operational) / Initial Inspection,40.740607792584,-73.981458676395,106.0,2.0,6600.0,1019867.0,1009070103.0,MN20
50059253,CHINESE RESTAURANT,Queens,4626,KISSENA BLVD,11355.0,6467046098,Chinese,02/07/2019,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,47.0,C,02/07/2019,09/18/2019,Cycle Inspection / Re-inspection,40.75003950242,-73.818519551091,407.0,20.0,84500.0,4314742.0,4051490138.0,QN22
41722947,TANKO JAPANESE FUSION,Queens,3805,BELL BOULEVARD,11361.0,7186311188,Japanese,07/12/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,20.0,B,07/12/2018,09/18/2019,Cycle Inspection / Re-inspection,40.766329866877,-73.772417658896,411.0,19.0,112300.0,4137576.0,4062380018.0,QN46
50057001,BED-STUY FISHFRY,Brooklyn,827,NOSTRAND AVE,11225.0,3474420050,Soul Food,04/12/2018,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",N,12.0,A,04/12/2018,09/18/2019,Cycle Inspection / Re-inspection,40.668389233062,-73.95062943466,309.0,35.0,31900.0,3033233.0,3012760005.0,BK63
41149575,BRASSERIE RUHLMANN,Manhattan,45,ROCKEFELLER PLAZA,10111.0,2129742020,French,08/11/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11.0,A,08/11/2017,09/18/2019,Cycle Inspection / Initial Inspection,40.75919751131,-73.97833472109299,105.0,4.0,10400.0,1083860.0,1012660001.0,MN17
50005784,"ORGANIC FOOD, NATURAL JUICES AND COFFEE SHOP",Queens,9706,ROOSEVELT AVE,11368.0,9174201425,Spanish,05/23/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,56.0,,,09/18/2019,Cycle Inspection / Re-inspection,40.749270255321,-73.86827368324,404.0,21.0,40900.0,4040269.0,4016060070.0,QN26
40401445,IHOP,Brooklyn,2101,RALPH AVENUE,11234.0,7182512262,Pancakes/Waffles,12/13/2018,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,21.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.625985562164004,-73.917932708,318.0,46.0,69601.0,3326929.0,3083440001.0,BK45
50062783,TINA'S WHISKEY TAVERN,Staten Island,4060,HYLAN BLVD,10308.0,7185544470,American,08/29/2017,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Y,12.0,A,08/29/2017,09/18/2019,Pre-permit (Operational) / Initial Inspection,40.540581723372995,-74.147442438066,503.0,51.0,15603.0,5068206.0,5053060009.0,SI54
50058444,TRACEY ANDERSON,Manhattan,90,FRANKLIN ST,10013.0,6469645820,"Juice, Smoothies, Fruit Salads",04/11/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12.0,A,04/11/2018,09/18/2019,Cycle Inspection / Initial Inspection,40.718129551943,-74.00500352451,101.0,1.0,3300.0,1001924.0,1001757504.0,MN24
50017599,BLEND SALAD AND JUICE BAR,Brooklyn,1310,78TH ST,11228.0,7182325300,Salads,05/17/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13.0,A,05/17/2018,09/18/2019,Cycle Inspection / Initial Inspection,40.618274341488,-74.00873491395001,310.0,43.0,19800.0,3161892.0,3062560010.0,BK30
50001763,TASTY DELICIOUS WEST INDIAN BAKERY & RESTAURANT,Brooklyn,1397,ROCKAWAY PARKWAY,11236.0,7186760149,Caribbean,09/19/2018,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Y,14.0,,,09/18/2019,Cycle Inspection / Initial Inspection,40.645736311953,-73.902975348807,318.0,42.0,97400.0,3229403.0,3081660018.0,BK50
50088437,HELL'S KITCHEN PIZZA,Manhattan,696,9TH AVE,10036.0,6464846193,Pizza,05/02/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,12.0,A,05/02/2019,09/18/2019,Pre-permit (Operational) / Re-inspection,40.762042689187005,-73.989986327827,104.0,3.0,12700.0,1025120.0,1010380062.0,MN15
